original_url,modified_url,gender,DATE,MEET,STATE_PROV
https://www.tfrrs.org/results/87307/2024_Penn_Opener,https://www.tfrrs.org/results/f/87307/2024_Penn_Opener,f,2024-12-07,2024 Penn Opener,PA
https://www.tfrrs.org/results/87591/Mount_Union_Toy_Drive,https://www.tfrrs.org/results/m/87591/Mount_Union_Toy_Drive,m,2024-12-07,Mount Union Toy Drive,OH
https://www.tfrrs.org/results/87591/Mount_Union_Toy_Drive,https://www.tfrrs.org/results/f/87591/Mount_Union_Toy_Drive,f,2024-12-07,Mount Union Toy Drive,OH
https://www.tfrrs.org/results/87417/ONU_Holiday_Open,https://www.tfrrs.org/results/m/87417/ONU_Holiday_Open,m,2024-12-07,ONU Holiday Open,IL
https://www.tfrrs.org/results/87417/ONU_Holiday_Open,https://www.tfrrs.org/results/f/87417/ONU_Holiday_Open,f,2024-12-07,ONU Holiday Open,IL
https://www.tfrrs.org/results/87529/Marietta_College_First_Glimpse,https://www.tfrrs.org/results/m/87529/Marietta_College_First_Glimpse,m,2024-12-07,Marietta College First Glimpse,OH
https://www.tfrrs.org/results/87529/Marietta_College_First_Glimpse,https://www.tfrrs.org/results/f/87529/Marietta_College_First_Glimpse,f,2024-12-07,Marietta College First Glimpse,OH
https://www.tfrrs.org/results/87495/Navy_Indoor_Invitational,https://www.tfrrs.org/results/m/87495/Navy_Indoor_Invitational,m,2024-12-07,Navy Indoor Invitational,MD
https://www.tfrrs.org/results/87495/Navy_Indoor_Invitational,https://www.tfrrs.org/results/f/87495/Navy_Indoor_Invitational,f,2024-12-07,Navy Indoor Invitational,MD
https://www.tfrrs.org/results/87589/BGSU_Tom_Wright_Open,https://www.tfrrs.org/results/m/87589/BGSU_Tom_Wright_Open,m,2024-12-07,BGSU Tom Wright Open,OH
https://www.tfrrs.org/results/87589/BGSU_Tom_Wright_Open,https://www.tfrrs.org/results/f/87589/BGSU_Tom_Wright_Open,f,2024-12-07,BGSU Tom Wright Open,OH
https://www.tfrrs.org/results/88039/IWU_Titan_First_Chance,https://www.tfrrs.org/results/m/88039/IWU_Titan_First_Chance,m,2024-12-07,IWU Titan First Chance,IL
https://www.tfrrs.org/results/88039/IWU_Titan_First_Chance,https://www.tfrrs.org/results/f/88039/IWU_Titan_First_Chance,f,2024-12-07,IWU Titan First Chance,IL
https://www.tfrrs.org/results/87763/Centre_First_Chance_Indoors,https://www.tfrrs.org/results/m/87763/Centre_First_Chance_Indoors,m,2024-12-07,Centre First Chance Indoors,KY
https://www.tfrrs.org/results/87763/Centre_First_Chance_Indoors,https://www.tfrrs.org/results/f/87763/Centre_First_Chance_Indoors,f,2024-12-07,Centre First Chance Indoors,KY
https://www.tfrrs.org/results/87214/2024_Mastodon_Opener,https://www.tfrrs.org/results/m/87214/2024_Mastodon_Opener,m,2024-12-07,2024 Mastodon Opener,IN
https://www.tfrrs.org/results/87214/2024_Mastodon_Opener,https://www.tfrrs.org/results/f/87214/2024_Mastodon_Opener,f,2024-12-07,2024 Mastodon Opener,IN
https://www.tfrrs.org/results/87062/TCNJ_Indoor_Opener,https://www.tfrrs.org/results/m/87062/TCNJ_Indoor_Opener,m,2024-12-07,TCNJ Indoor Opener,NY
https://www.tfrrs.org/results/87062/TCNJ_Indoor_Opener,https://www.tfrrs.org/results/f/87062/TCNJ_Indoor_Opener,f,2024-12-07,TCNJ Indoor Opener,NY
https://www.tfrrs.org/results/88064/2024_Bob_Timmons_Challenge,https://www.tfrrs.org/results/m/88064/2024_Bob_Timmons_Challenge,m,2024-12-07,2024 Bob Timmons Challenge,KS
https://www.tfrrs.org/results/88064/2024_Bob_Timmons_Challenge,https://www.tfrrs.org/results/f/88064/2024_Bob_Timmons_Challenge,f,2024-12-07,2024 Bob Timmons Challenge,KS
https://www.tfrrs.org/results/88040/Purple_and_Blue_Duel,https://www.tfrrs.org/results/m/88040/Purple_and_Blue_Duel,m,2024-12-07,Purple and Blue Duel,OR
https://www.tfrrs.org/results/88040/Purple_and_Blue_Duel,https://www.tfrrs.org/results/f/88040/Purple_and_Blue_Duel,f,2024-12-07,Purple and Blue Duel,OR
https://www.tfrrs.org/results/87691/Frigid_Bee_Invitational,https://www.tfrrs.org/results/m/87691/Frigid_Bee_Invitational,m,2024-12-07,Frigid Bee Invitational,IA
https://www.tfrrs.org/results/87691/Frigid_Bee_Invitational,https://www.tfrrs.org/results/f/87691/Frigid_Bee_Invitational,f,2024-12-07,Frigid Bee Invitational,IA
https://www.tfrrs.org/results/87814/Wyoming_Power_Meet,https://www.tfrrs.org/results/m/87814/Wyoming_Power_Meet,m,2024-12-07,Wyoming Power Meet,WY
https://www.tfrrs.org/results/87814/Wyoming_Power_Meet,https://www.tfrrs.org/results/f/87814/Wyoming_Power_Meet,f,2024-12-07,Wyoming Power Meet,WY
https://www.tfrrs.org/results/87434/SC_Season_Opener,https://www.tfrrs.org/results/m/87434/SC_Season_Opener,m,2024-12-07,SC Season Opener,MA
https://www.tfrrs.org/results/87434/SC_Season_Opener,https://www.tfrrs.org/results/f/87434/SC_Season_Opener,f,2024-12-07,SC Season Opener,MA
https://www.tfrrs.org/results/88074/St_Cloud_State_Battle_for_the_Paddle,https://www.tfrrs.org/results/m/88074/St_Cloud_State_Battle_for_the_Paddle,m,2024-12-07,St. Cloud State Battle for the Paddle,MN
https://www.tfrrs.org/results/88074/St_Cloud_State_Battle_for_the_Paddle,https://www.tfrrs.org/results/f/88074/St_Cloud_State_Battle_for_the_Paddle,f,2024-12-07,St. Cloud State Battle for the Paddle,MN
